# This file contains the playout time for each wav file stored in the wav/
# subdirectory.
# The following shell commands were used to create this CSV file, when 
# reading the file in, please exclude the comment lines.
#
# ls -1 *.wav | while read line
# do
#         sec=`sox $line -n stat 2>&1 | grep Length | cut -d':' -f2 | tr -d ' '`
#         echo "$line, $sec"
# done
#
# vkg Sep 27, 2022
file,playout_time
mix181_original_1.wav, 7.880063
mix181_original_2.wav, 7.840063
mix182_original_1.wav, 6.480062
mix182_original_2.wav, 6.640062
mix183_original_1.wav, 5.120063
mix183_original_2.wav, 5.000063
mix184_original_1.wav, 8.040062
mix184_original_2.wav, 8.920063
mix185_original_1.wav, 4.720063
mix185_original_2.wav, 4.680063
mix186_original_1.wav, 7.800063
mix186_original_2.wav, 7.880063
mix187_original_1.wav, 8.200062
mix187_original_2.wav, 8.600062
mix188_original_1.wav, 5.760063
mix188_original_2.wav, 5.280062
mix189_original_1.wav, 6.000063
mix189_original_2.wav, 6.720063
mix18_original_1.wav, 6.160063
mix18_original_2.wav, 6.280062
mix190_original_1.wav, 7.280062
mix190_original_2.wav, 7.680063
mix191_original_1.wav, 9.760063
mix191_original_2.wav, 9.400063
mix192_original_1.wav, 7.520062
mix192_original_2.wav, 7.480062
mix193_original_1.wav, 5.800063
mix193_original_2.wav, 5.320062
mix194_original_1.wav, 10.480063
mix194_original_2.wav, 10.640063
mix195_original_1.wav, 4.080063
mix195_original_2.wav, 4.000063
mix196_original_1.wav, 4.080063
mix196_original_2.wav, 4.680063
mix197_original_1.wav, 8.800062
mix197_original_2.wav, 8.480063
mix198_original_1.wav, 7.640062
mix198_original_2.wav, 7.040063
mix199_original_1.wav, 4.280062
mix199_original_2.wav, 4.880063
mix19_original_1.wav, 4.760063
mix19_original_2.wav, 4.520062
mix1_original_1.wav, 10.880062
mix1_original_2.wav, 10.200062
mix200_original_1.wav, 5.680063
mix200_original_2.wav, 5.200062
mix20_original_1.wav, 6.440062
mix20_original_2.wav, 6.640062
mix21_original_1.wav, 8.080063
mix21_original_2.wav, 8.840063
mix22_original_1.wav, 5.320062
mix22_original_2.wav, 5.000063
mix23_original_1.wav, 4.400062
mix23_original_2.wav, 4.760063
mix24_original_1.wav, 4.760063
mix24_original_2.wav, 4.320062
mix25_original_1.wav, 9.600062
mix25_original_2.wav, 9.040062
mix26_original_1.wav, 4.720063
mix26_original_2.wav, 4.760063
mix27_original_1.wav, 8.560063
mix27_original_2.wav, 8.600062
mix28_original_1.wav, 5.320062
mix28_original_2.wav, 5.360062
mix29_original_1.wav, 4.240062
mix29_original_2.wav, 4.000063
mix2_original_1.wav, 6.640062
mix2_original_2.wav, 6.000063
